content_id,content_title,keyword,ldong
113464,인천,인천상륙작전기념관,28
113464,인천,월미도,28
113464,인천,자유공원,28
113464,인천,팔미도,28
407887,인천상륙작전,인천상륙작전기념관,28
407887,인천상륙작전,월미도,28
407887,인천상륙작전,자유공원,28
282631,명량,명량대첩,
282631,명량,울돌목,12
282631,명량,우수영,12
588108,한산: 용의 출현,제승당,48
588108,한산: 용의 출현,한산도,48
660360,노량: 죽음의 바다,관음포,48
660360,노량: 죽음의 바다,충렬사,48
437081,남한산성,남한산성,41
437081,남한산성,수어장대,41
437081,남한산성,삼전도비,11
343843,연평해전,연평도,28
343843,연평해전,서해수호,
567629,장사리: 잊혀진 영웅들,장사상륙작전,47
1417288,독립군: 끝나지 않은 전쟁,독립기념관,44
1417288,독립군: 끝나지 않은 전쟁,서대문형무소,11
573791,봉오동 전투,독립기념관,44
610251,하얼빈,안중근의사기념관,11
11658,태극기 휘날리며,다부동,47
11658,태극기 휘날리며,전쟁기념관,11
11658,태극기 휘날리며,낙동강승전기념관,
133756,지슬: 끝나지 않은 세월 2,제주4·3평화공원,50
133756,지슬: 끝나지 않은 세월 2,4·3,50
919207,서울의 봄,국립서울현충원,11
919207,서울의 봄,경복궁,11
770322,태조 왕건,개태사,44
770322,태조 왕건,궁예,
361297,서부전선,임진각,41
361297,서부전선,도라전망대,41
65881,평양성,아차산성,11
65881,평양성,온달산성,43
535389,안시성,아차산성,11
535389,안시성,고구려,
